,temp,precip,inflow_ams,inflow_rtm
2023-01-01 00:00:00,3.6967596142777426,0.0,85,98
2023-01-01 00:15:00,3.6015281467407436,0.0,399,295
2023-01-01 00:30:00,3.5074424575021714,0.0,126,151
2023-01-01 00:45:00,3.4151922074277055,0.0,271,149
2023-01-01 01:00:00,3.325467057383026,0.0,96,101
2023-01-01 01:15:00,3.238956668233813,0.0,305,313
2023-01-01 01:30:00,3.156350700845746,0.0,95,107
2023-01-01 01:45:00,3.078338816084506,0.0,289,108
2023-01-01 02:00:00,3.0056106748157725,0.0,118,92
2023-01-01 02:15:00,2.9388559379052253,0.0,372,331
2023-01-01 02:30:00,2.8787642662185444,0.0,85,107
2023-01-01 02:45:00,2.826025320621411,0.0,258,114
2023-01-01 03:00:00,2.781328761979504,0.0,130,158
2023-01-01 03:15:00,2.7453642511585032,0.0,375,311
2023-01-01 03:30:00,2.7188214490240896,0.0,122,158
2023-01-01 03:45:00,2.7023900164419428,0.0,453,89
2023-01-01 04:00:00,2.6967596142777426,0.0,139,138
2023-01-01 04:15:00,2.7006875867770535,0.0,328,332
2023-01-01 04:30:00,2.7122052010546924,0.0,94,91
2023-01-01 04:45:00,2.7309130022802224,0.0,273,82
2023-01-01 05:00:00,2.756411535623204,0.0,120,80
2023-01-01 05:15:00,2.7883013462531996,0.0,315,423
2023-01-01 05:30:00,2.8261829793397704,0.0,149,145
2023-01-01 05:45:00,2.8696569800524787,0.0,416,127
2023-01-01 06:00:00,2.9183238935608853,0.0,132,120
2023-01-01 06:15:00,2.971784265034552,0.0,361,431
2023-01-01 06:30:00,3.029638639643041,0.0,107,132
2023-01-01 06:45:00,3.0914875625559133,0.0,239,159
2023-01-01 07:00:00,3.156931578942731,0.0,156,83
2023-01-01 07:15:00,3.2255712339730556,0.0,288,341
2023-01-01 07:30:00,3.2970070728164487,0.0,86,138
2023-01-01 07:45:00,3.3708396406424717,0.0,344,141
2023-01-01 08:00:00,3.446669482620687,0.0,105,116
2023-01-01 08:15:00,3.524097143920655,0.0,420,417
2023-01-01 08:30:00,3.602723169711939,0.0,128,81
2023-01-01 08:45:00,3.6821481051640994,0.0,291,91
2023-01-01 09:00:00,3.761972495446697,0.0,272,114
2023-01-01 09:15:00,3.8417968857292957,0.0,421,304
2023-01-01 09:30:00,3.921221821181456,0.0,86,146
2023-01-01 09:45:00,3.99984784697274,0.0,395,92
2023-01-01 10:00:00,4.077275508272708,0.0,379,352
2023-01-01 10:15:00,4.153105350250923,0.0,839,893
2023-01-01 10:30:00,4.226937918076946,0.0,335,876
2023-01-01 10:45:00,4.2983737569203395,0.0,1061,349
2023-01-01 11:00:00,4.367013411950664,0.0,374,375
2023-01-01 11:15:00,4.4324574283374805,0.0,988,799
2023-01-01 11:30:00,4.494306351250354,0.0,294,295
2023-01-01 11:45:00,4.552160725858843,0.0,1036,376
2023-01-01 12:00:00,4.605621097332509,0.0,315,294
